Stimulus,Response,Outcome,tResponse
-0.4415,2,0,1520.152064
0,1,0,1524.069334
-0.7552,2,0,1528.31560133333
0.4415,2,1,1535.99540033333
-0.4415,2,0,1538.52102966667
1,2,1,1542.86993166667
0.7552,1,0,1545.50302366667
-0.4415,1,1,1550.56843233333
0.4415,2,1,1553.44603266667
-1,1,1,1555.93829966667
-0.7552,2,0,1560.07156633333
0.7552,2,1,1564.58046633333
-0.4415,1,1,1566.97256566667
0.7552,2,1,1569.617333
-1,1,1,1573.49194266667
0,2,0,1575.995699
0.4415,2,1,1584.767198
-1,1,1,1587.38842966667
0.4415,2,1,1590.50436633333
-0.4415,1,1,1593.961478
-0.7552,2,0,1596.94910033333
1,2,1,1601.70480066667
-1,1,1,1604.242395
0.4415,2,1,1607.7315
-0.4415,1,1,1610.41963566667
0.7552,2,1,1613.181732
-1,1,1,1615.593359
-0.4415,2,0,1618.52729233333
0.7552,2,1,1622.56103266667
-0.7552,1,1,1625.63214466667
0.7552,2,1,1628.307233
-0.4415,1,1,1630.638535
0.4415,2,1,1633.51696466667
-0.7552,1,1,1635.90422833333
0.4415,2,1,1638.76116666667
0.7552,1,0,1641.11650033333
-0.7552,2,0,1646.86682366667
1,2,1,1651.12073066667
-0.4415,1,1,1653.42999966667
0,2,0,1656.24946633333
0.4415,2,1,1661.190198
0.7552,2,1,1664.19646766667
-0.4415,2,0,1667.00323866667
1,2,1,1671.203966
-0.4415,1,1,1673.400599
0.7552,2,1,1676.35336633333
-0.4415,1,1,1678.87496766667
-0.7552,1,1,1682.014232
0,1,0,1684.95385933333
-1,1,1,1689.46840733333
0,1,0,1692.33316966667
0,1,1,1696.365233
1,2,1,1699.032032
-1,1,1,1701.35733633333
0,2,1,1704.17243133333
-1,1,1,1706.698032
0.7552,2,1,1709.65800033333
0.4415,1,0,1712.591431
-0.4415,1,1,1722.799667
1,2,1,1725.729969
-1,1,1,1728.04489933333
-1,1,1,1730.60853166667
1,1,0,1733.48463466667
-1,2,0,1738.68549033333
0.7552,2,1,1743.96236633333
-0.7552,1,1,1746.35283266667
0,1,1,1753.52620566667
0,1,0,1757.02062033333
0,1,1,1760.96869333333
1,2,1,1763.90862933333
-1,1,1,1766.36273166667
0.7552,2,1,1769.0557
-1,1,1,1771.365978
-1,2,0,1773.998733
0.7552,2,1,1779.02930666667
-0.7552,1,1,1781.53676566667
0.4415,2,1,1784.17486733333
-0.7552,1,1,1786.77913166667
0.4415,2,1,1789.673597
1,1,0,1792.566864
1,2,1,1797.504932
-0.4415,1,1,1800.15836633333
0.7552,2,1,1802.67397666667
-0.7552,1,1,1805.00023133333
1,2,1,1807.64999966667
-0.7552,1,1,1809.870474
1,2,1,1812.484613
-0.7552,1,1,1814.68269866667
0,2,1,1825.757126
-1,1,1,1828.64710033333
0.4415,2,1,1831.14601133333
1,2,1,1833.70279666667
0,1,1,1836.47673166667
1,2,1,1838.96949233333
1,2,1,1841.97146533333
-0.7552,1,1,1844.624033
1,2,1,1847.21630133333
-1,1,1,1849.41177033333
1,2,1,1851.68639966667
-0.7552,1,1,1854.02050066667
-0.7552,2,0,1856.806148
0.7552,2,1,1861.351533
0.4415,2,1,1864.46929866667
-1,1,1,1866.63357366667
0,2,1,1869.09301033333
0,1,1,1871.62829566667
1,2,1,1876.09286466667
0.7552,2,1,1878.97215933333
1,2,1,1883.204564
-0.7552,1,1,1887.49096433333
0.7552,1,0,1894.672302
-0.7552,1,1,1898.70839966667
0,2,1,1901.54332633333
0,1,1,1904.030451
0.7552,2,1,1906.64289833333
0.7552,1,0,1908.96132366667
-0.4415,2,0,1924.84216566667
0,2,1,1945.01872466667
-1,1,1,1947.89613166667
0.4415,1,0,1950.85906533333
0.4415,1,0,1954.913332
0.7552,2,1,1959.35856533333
-0.4415,1,1,1961.790033
-0.7552,2,0,1964.61143533333
1,2,1,1981.89059133333
-0.7552,1,1,1984.56733133333
1,2,1,1987.98796566667
-1,2,0,1990.739566
0.4415,2,1,1996.378767
-0.4415,1,1,1999.184531
1,2,1,2001.633832
-0.4415,1,1,2004.41475766667
0.4415,2,1,2007.30753333333
-0.7552,1,1,2009.86046566667
0.4415,2,1,2012.75709966667
0,1,1,2015.605869
0,2,0,2018.30591966667
0,2,1,2024.16366866667
-1,1,1,2026.73443433333
1,2,1,2029.449579
-0.7552,1,1,2032.161667
0,1,0,2034.973799
-0.7552,1,1,2039.18067266667
0,2,1,2041.648099
0,1,1,2044.40089433333
0,2,1,2047.10033366667
0.7552,1,0,2049.663634
-0.7552,1,1,2054.03466633333
0.7552,2,1,2056.634432
-1,1,1,2059.128931
0,2,1,2071.65366466667
-1,1,1,2074.146424
0.7552,2,1,2088.96326233333
-0.7552,1,1,2103.65243366667
0.7552,1,0,2122.256666
-0.7552,1,1,2128.07540566667
0,2,0,2131.205332
1,2,1,2136.05439233333
0.7552,1,0,2138.45665466667
-0.4415,2,0,2164.54146666667
0.4415,1,0,2174.15806433333
-0.4415,2,0,2179.33359866667
1,2,1,2185.74416433333
0,2,0,2188.663898
1,2,1,2193.02536666667
0.7552,2,1,2195.852965
-0.7552,2,0,2198.93869933333
0.7552,2,1,2203.52793233333
-0.7552,1,1,2206.03219866667
0.7552,2,1,2212.480932
0.4415,1,0,2214.881358
0.7552,1,0,2226.4101
-0.4415,1,1,2233.27179966667
0,2,0,2236.30738533333
1,1,0,2263.48713333333
-1,1,1,2290.80673466667
0.7552,1,0,2294.67042933333
-0.4415,2,0,2347.02133166667
0.4415,2,1,2352.58253166667
-1,2,0,2356.28079666667
0,2,1,2363.381962
-1,2,0,2367.273572
-1,1,1,2371.46396666667
0.4415,2,1,2374.709566
-1,1,1,2377.94729966667
-0.4415,1,1,2397.71573266667
-0.7552,2,0,2405.07839533333
-1,2,0,2413.43519966667
-0.4415,1,1,2426.929597
-1,2,0,2430.536832
-1,2,0,2436.72123233333
-0.7552,1,1,2481.79107166667
-0.7552,2,0,2485.90084433333
-0.7552,1,1,2587.106465
0,1,1,2590.996364
-0.4415,1,1,2595.02176533333
-0.4415,1,1,2598.68903333333
-1,1,1,2602.39660866667
-0.7552,1,1,2609.874138
-0.7552,1,1,2614.18119733333
0.4415,1,0,2655.76982733333
1,2,1,2660.47086366667
0.7552,2,1,2665.36842133333
-0.4415,2,0,2669.29367566667
-0.4415,2,0,2704.61356633333
0,2,0,2709.192465
0,2,0,2714.48899766667
-0.4415,1,1,2718.768432
0.4415,1,0,2722.64316566667
0,1,0,3493.146799
0.4415,1,0,3499.058673
