center,flanker,choice,RT
left,right,left,0.858
left,left,left,0.635
left,left,left,0.844
left,right,right,0.401
right,right,right,0.654
left,right,left,0.628
left,left,left,0.689
left,left,left,0.572
left,left,left,0.429
left,right,left,0.475
left,left,left,0.678
right,right,right,0.74
left,right,left,1.147
left,right,left,0.594
right,right,right,0.441
left,right,left,1.777
left,left,right,0.332
left,left,left,0.6
left,left,left,0.503
right,right,right,0.739
left,right,left,1.001
right,right,right,0.571
right,left,left,0.521
right,right,right,0.538
right,right,right,0.568
right,left,right,0.668
left,right,right,1.741
left,right,left,0.649
left,right,left,0.668
right,left,right,1.259
left,left,left,1.045
right,left,right,0.607
right,left,right,0.74
left,left,left,0.542
left,left,left,0.35
left,left,left,0.714
left,left,left,0.523
left,left,left,0.907
left,right,left,0.539
right,left,right,1.239
left,left,left,1.193
left,right,left,1.219
left,right,right,0.404
right,right,right,0.553
left,left,left,0.689
left,right,left,1.206
left,left,left,0.307
left,right,left,0.586
left,right,left,0.592
left,left,left,0.638
left,right,left,0.524
left,left,left,0.456
left,left,left,1.048
right,right,right,1.04
right,left,right,1.052
left,left,left,0.357
left,right,left,0.727
left,right,left,1.394
right,left,right,0.397
right,right,right,0.634
right,left,right,0.518
left,left,left,1.035
left,left,left,0.627
left,right,right,0.931
right,left,right,0.739
left,right,left,1.258
right,left,right,0.866
left,right,right,0.462
left,right,left,1.14
right,left,left,0.695
right,right,right,0.888
right,right,right,0.54
left,left,left,0.535
right,left,right,0.548
right,left,right,1.041
right,left,right,0.554
right,right,right,1.128
left,right,left,0.675
right,left,right,0.48
right,right,right,0.573
right,left,right,0.667
right,left,right,0.364
left,left,left,0.375
right,left,left,0.429
left,left,left,0.351
right,left,right,0.446
right,right,right,0.376
right,right,right,0.802
left,right,right,0.411
right,right,right,1.05
left,right,left,0.502
right,right,right,0.471
right,right,right,0.537
right,left,right,0.573
right,left,right,1.495
right,left,right,1.262
right,right,right,0.538
right,right,right,0.666
left,left,left,0.649
left,left,right,0.465
right,right,right,0.542
right,left,left,0.626
left,right,left,0.953
right,left,left,0.526
left,left,left,0.671
right,right,right,0.527
right,right,right,0.675
left,left,left,0.41
right,left,right,0.872
right,left,right,0.492
right,right,right,0.552
left,left,right,0.316
right,right,right,0.568
right,right,right,0.731
left,left,left,0.786
left,left,left,1.081
left,right,left,0.836
right,left,right,0.87
right,right,right,0.759
right,left,left,0.417
right,left,right,0.803
right,right,right,0.462
left,right,left,1.011
left,left,left,0.557
right,right,right,0.327
left,left,left,0.513
left,left,left,0.918
right,left,right,0.994
left,left,right,0.443
right,right,right,0.451
left,right,left,0.665
right,left,right,1.389
left,right,right,0.479
right,left,left,0.665
left,right,left,0.668
left,left,left,0.411
left,right,right,1.327
left,right,left,0.488
left,left,left,0.788
right,right,right,0.425
left,left,left,0.943
left,left,left,0.744
right,right,right,0.619
left,right,left,0.919
left,right,left,0.672
right,right,right,0.674
left,right,left,0.895
right,right,right,0.414
left,left,left,0.326
right,left,right,0.37
right,left,right,0.934
left,left,left,0.594
right,left,right,1.076
right,right,right,0.49
left,left,left,0.375
left,right,left,0.414
right,left,right,0.815
left,left,left,0.372
left,right,left,0.889
right,right,right,0.409
right,left,right,0.443
right,right,right,0.808
left,right,right,0.335
right,left,right,0.513
right,right,right,0.627
left,right,right,0.621
left,right,left,0.642
left,left,left,0.662
right,left,right,0.396
right,left,right,1.129
right,right,right,1.193
right,left,left,0.425
left,right,left,0.859
right,left,left,0.47
right,right,right,0.638
right,left,left,1.055
left,left,left,0.51
right,left,right,0.603
left,right,left,1.176
right,right,right,0.567
left,left,left,0.665
left,right,left,0.428
right,left,right,1.197
right,right,right,0.737
right,right,right,0.692
right,right,right,0.843
right,left,right,0.607
left,left,left,0.698
left,right,left,0.495
right,left,right,0.585
right,left,right,0.86
right,left,left,0.58
right,left,right,1.98
left,left,left,0.82
left,right,left,0.786
right,left,left,0.498
left,left,left,0.64
right,left,left,0.41
right,left,right,0.811
right,left,right,0.877
right,left,right,1.457
right,right,right,0.469
right,right,right,0.638
right,right,right,0.405
left,right,left,1.275
right,right,right,0.604
left,left,left,0.506
left,right,left,0.774
left,right,right,0.497
left,right,left,1.062
right,left,right,0.709
right,left,right,1.061
left,left,left,0.627
right,left,right,0.593
right,right,right,0.976
left,left,left,0.684
right,left,right,0.809
right,left,right,0.508
right,right,right,0.477
left,right,left,0.938
right,right,right,0.934
right,left,right,0.669
right,right,right,0.49
left,right,right,0.862
left,left,left,0.604
right,left,right,0.715
right,left,right,1.261
right,left,right,1.145
right,left,right,0.657
right,right,right,1.018
left,right,left,1.256
left,left,left,0.58
right,right,right,0.458
left,left,left,0.6
left,left,right,0.657
left,right,left,0.732
right,right,right,0.732
left,right,left,1.199
left,right,left,0.868
left,right,left,1.04
left,right,left,1.174
right,right,right,0.715
left,right,left,0.397
right,left,right,0.83
right,right,right,1
left,right,right,0.393
left,left,left,0.783
right,right,right,1.094
right,right,right,0.482
right,left,left,0.819
