x1,binchoice,x2,xavg,estim,subj
54.75,-1,47.25,51,55,3
53.25,1,58.75,56,61,3
44.25,-1,48.25,46.25,57,3
53.375,1,42,47.6875,65,3
54.625,1,58,56.3125,58,3
51.125,1,54.625,52.875,47,3
47.25,-1,54,50.625,45,3
51.25,-1,58.875,55.0625,65,3
45.5,1,59.25,52.375,61,3
51.75,1,45.5,48.625,55,3
53.75,1,53.125,53.4375,40,3
46.375,1,46.875,46.625,43,3
55.25,1,55.625,55.4375,33,3
47.5,-1,51.375,49.4375,48,3
51.125,-1,57.625,54.375,56,3
53.625,1,46.625,50.125,45,3
55.375,1,47.125,51.25,59,3
47.25,-1,44.75,46,47,3
52.875,1,62.5,57.6875,53,3
45.5,1,40.5,43,42,3
44.375,1,37.625,41,38,3
54.125,1,53.5,53.8125,62,3
46.875,1,61.5,54.1875,54,3
48.625,1,38.125,43.375,32,3
48,1,52.25,50.125,48,3
54.375,1,54.375,54.375,64,3
47.625,1,59.375,53.5,65,3
51.75,1,55,53.375,36,3
44.625,-1,46.125,45.375,55,3
46,-1,60.625,53.3125,49,3
54.25,1,53.75,54,43,3
54.625,1,50.875,52.75,37,3
50.75,1,48.25,49.5,45,3
47.25,1,59.125,53.1875,54,3
45.25,-1,46.875,46.0625,46,3
45.5,-1,57.125,51.3125,38,3
51.25,1,58.125,54.6875,39,3
45.75,1,50.375,48.0625,48,3
54,1,39.5,46.75,41,3
54.125,1,51.25,52.6875,56,3
46.125,-1,59.75,52.9375,54,3
52.125,1,55.25,53.6875,59,3
48.125,1,57.125,52.625,55,3
55,1,41.25,48.125,29,3
48.375,1,45,46.6875,39,3
44.375,-1,50.125,47.25,44,3
48.25,1,44.625,46.4375,58,3
47.25,1,59.875,53.5625,55,3
47.25,-1,46.375,46.8125,39,3
46.625,-1,45.25,45.9375,33,3
47.875,1,47.625,47.75,54,3
46.625,-1,44.125,45.375,29,3
53.875,-1,50.625,52.25,52,3
54,1,60.75,57.375,46,3
45.5,-1,58.25,51.875,37,3
53.875,-1,59.625,56.75,50,3
51.75,-1,48.25,50,43,3
48.25,-1,60.5,54.375,44,3
50.375,-1,48,49.1875,49,3
44.875,-1,54,49.4375,46,3
52.125,-1,54,53.0625,66,3
54.375,1,52,53.1875,35,3
48.125,-1,57.25,52.6875,43,3
55,-1,61.125,58.0625,54,3
47.375,1,61.875,54.625,38,3
46.625,-1,61.625,54.125,47,3
46.125,-1,46.25,46.1875,43,3
45.875,-1,46,45.9375,32,3
